Rank,Name,WAR,BT,SB,BR,Def,Rep-Wins,Pos-Wins,GS,GR,GS,GR,GS,GR,Season,Position
8,김선빈,2.43,0.98,-0.02,0.04,-0.17,0.13,0.33,0.00,0.00,0.00,0.00,0.00,0.00,20,2B
9,나지완,2.01,1.44,0.00,0.01,-1.73,0.21,-0.49,0.00,0.00,0.00,0.00,0.00,0.00,20,LF
10,전상현,1.72,0.00,0.00,0.00,0.00,0.00,0.00,,1.33,,0.41,,1.72,20,P
11,정해영,1.11,0.00,0.00,0.00,0.00,0.00,0.00,,0.79,,0.33,,1.11,20,P
12,한승택,1.10,-0.67,0.00,-0.11,0.28,0.10,0.56,0.00,0.00,0.00,0.00,0.00,0.00,20,C
13,최원준,1.08,1.10,0.11,0.02,-2.22,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,CF
14,홍상삼,1.03,0.00,0.00,0.00,0.00,0.00,0.00,,0.64,,0.40,,1.03,20,P
15,김민식,0.91,-0.96,0.00,-0.09,0.26,0.09,0.53,0.00,0.00,0.00,0.00,0.00,0.00,20,C
16,황대인,0.75,0.20,0.00,-0.13,0.25,0.05,-0.12,0.00,0.00,0.00,0.00,0.00,0.00,20,1B
17,이민우,0.61,0.00,0.00,0.00,0.00,0.00,0.00,-1.13,,1.52,,0.61,,20,P
18,황윤호,0.57,-0.36,0.03,-0.01,0.64,0.03,0.01,0.00,0.01,0.00,0.00,0.00,0.02,20,3B
19,김기훈,0.42,0.00,0.00,0.00,0.00,0.00,0.00,-0.36,0.14,0.40,0.20,0.07,0.35,20,P
20,김호령,0.32,-0.40,-0.06,0.05,0.02,0.06,0.01,0.00,0.00,0.00,0.00,0.00,0.00,20,CF
21,문경찬,0.31,0.00,0.00,0.00,0.00,0.00,0.00,,0.12,,0.19,,0.31,20,P
22,백용환,0.31,-0.04,0.00,-0.03,-0.30,0.04,0.23,0.00,0.00,0.00,0.00,0.00,0.00,20,C
23,류지혁,0.29,0.09,0.02,0.02,0.16,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,3B
24,나주환,0.28,-0.61,0.00,-0.02,0.02,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,3B
25,이창진,0.27,0.29,-0.04,0.01,-0.37,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,CF
26,이준영,0.23,0.00,0.00,0.00,0.00,0.00,0.00,,0.04,,0.18,,0.23,20,P
27,김현수,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.16,-0.34,0.22,0.11,0.42,-0.20,20,P
28,박정수,0.21,0.00,0.00,0.00,0.00,0.00,0.00,,0.16,,0.07,,0.21,20,P
29,홍건희,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.09,0.00,0.12,20,P
30,이진영,0.07,0.01,0.02,0.04,-0.14,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,20,RF
31,황인준,0.06,0.00,0.00,0.00,0.00,0.00,0.00,,0.02,,0.03,,0.06,20,P
32,오선우,0.02,-0.27,0.00,-0.03,-0.07,0.03,0.06,0.00,0.00,0.00,0.00,0.00,0.00,20,RF
33,박민,0.01,0.01,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,3B
34,김재열,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,-0.13,,0.12,,0.01,20,P
35,김승범,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,-0.01,,0.01,,0.00,20,P
36,차명진,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,,-0.01,,0.00,,-0.01,20,P
37,서덕원,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,,-0.14,,0.08,,-0.03,20,P
38,남재현,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,,-0.16,,0.10,,-0.04,20,P
39,변시원,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,,-0.08,,0.03,,-0.04,20,P
40,이정훈,-0.08,-0.09,0.00,0.00,-0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,20,C
41,홍종표,-0.09,-0.55,-0.07,0.00,0.01,0.03,0.09,0.00,0.00,0.00,0.00,0.00,0.00,20,2B
